c file generated by mubqpGenerator.R with seed  0 the 07/08/2017 14:14:42 
c version 1.0
c
c one column for each dimension
c each matrix is given by: c(1,1) ... c(N,1) c(1,2) ... c(N,2) ... c(N,N)
c
p MUBQP 0 3 100 0.8 
p matrices
34  -23  79  
1  93  -26  
-1  -12  82  
-24  -84  80  
38  -86  32  
0  0  0  
-50  19  -65  
23  20  -23  
13  -21  0  
-60  -95  98  
-59  -35  55  
0  0  0  
11  -98  -75  
47  46  -23  
74  -86  -24  
64  -17  -32  
0  0  0  
0  0  0  
0  0  0  
0  0  0  
4  -58  -18  
13  -76  29  
-13  -87  11  
97  -75  58  
56  -28  -5  
63  83  39  
-80  43  72  
0  0  0  
55  19  -80  
-92  -68  4  
0  0  0  
70  13  -41  
53  99  -34  
-62  18  -48  
-50  8  53  
-59  -98  75  
92  76  68  
-86  79  -33  
0  0  0  
45  0  -22  
-3  -60  92  
-16  9  43  
-15  -38  -35  
0  0  0  
-49  17  -76  
0  0  0  
70  30  -88  
-4  -93  75  
92  -76  59  
31  83  -18  
42  15  21  
96  32  -29  
-51  -84  99  
82  97  -57  
-45  -41  -4  
-5  37  20  
0  0  0  
24  64  -14  
0  0  0  
-86  67  -79  
-82  68  28  
48  -57  -1  
-14  -90  -65  
-95  31  -9  
-26  -98  -58  
32  53  19  
-72  55  -85  
4  57  29  
-48  -27  20  
84  93  5  
16  -12  2  
44  -67  20  
100  -30  -48  
72  -79  -9  
-18  -80  49  
-36  16  73  
0  0  0  
0  0  0  
76  -17  -64  
0  0  0  
30  -24  -57  
26  92  79  
35  -45  56  
-4  51  -17  
27  -27  -33  
0  0  0  
0  0  0  
-66  12  -22  
-33  -43  79  
18  13  48  
51  27  81  
27  54  -62  
69  -69  1  
-66  83  -62  
-18  -94  45  
-97  -95  10  
71  74  -22  
0  0  0  
-48  -75  18  
93  38  68  
51  -82  57  
-72  89  -56  
35  5  -46  
0  0  0  
11  -27  -74  
78  -79  44  
93  60  -80  
25  0  90  
56  38  -38  
-47  -58  91  
-56  -33  -32  
-58  19  -67  
0  0  0  
-81  -66  2  
-58  -47  -91  
86  43  71  
37  -66  -74  
-89  -73  26  
19  32  38  
-32  -56  11  
59  69  -9  
-76  -91  16  
85  -30  -71  
18  -58  -58  
0  0  0  
-29  53  89  
6  52  87  
-45  -56  21  
0  0  0  
-15  -56  0  
-23  82  87  
0  0  0  
43  -62  58  
-97  1  -67  
-93  59  51  
0  0  0  
-88  41  -78  
0  0  0  
6  98  -62  
0  0  0  
0  0  0  
0  0  0  
58  -96  -25  
73  90  -72  
-79  -9  -69  
0  0  0  
73  6  -74  
-91  6  -35  
-30  2  36  
9  -12  -76  
-24  87  86  
-50  70  -81  
34  26  -8  
20  -44  98  
98  79  63  
0  0  0  
10  -32  -61  
0  0  0  
-62  -19  -1  
-21  -12  -29  
51  30  25  
85  63  -38  
-29  18  99  
-57  -91  91  
21  28  56  
79  73  52  
56  -81  -41  
-2  -94  62  
0  0  0  
-49  -30  -69  
65  39  94  
0  0  0  
-78  92  -23  
14  77  -46  
-49  49  -66  
0  0  0  
18  66  -87  
-80  74  -16  
37  -65  -43  
-37  89  -84  
-28  -84  -6  
24  -97  -33  
75  -15  -45  
-66  47  67  
99  31  41  
0  0  0  
-93  9  12  
-89  -45  -54  
0  0  0  
-21  93  73  
0  0  0  
48  38  13  
-91  38  96  
75  78  -52  
-30  -72  66  
-16  -29  93  
99  23  -71  
80  -32  1  
-19  15  -30  
0  -20  -38  
-49  -66  -70  
-27  -89  -63  
82  59  80  
45  9  45  
53  55  56  
0  0  0  
76  71  -29  
63  27  59  
17  -35  -5  
-21  41  -38  
-59  22  65  
0  0  0  
0  0  0  
-46  13  -19  
37  11  87  
-39  -46  76  
52  35  -86  
22  -41  8  
-52  81  60  
8  9  -90  
21  85  84  
-53  -27  -41  
93  -16  22  
75  60  -15  
-22  74  89  
35  -74  -86  
0  0  0  
0  0  0  
-4  -34  32  
-94  52  97  
-1  -48  -87  
5  -40  -5  
-75  -14  -12  
0  -51  88  
-62  86  -67  
50  -4  38  
0  0  0  
-14  -90  -21  
30  5  -52  
-66  -56  -13  
0  0  0  
25  -28  -69  
-52  -91  89  
33  35  0  
-53  16  -100  
2  31  -73  
43  -61  88  
-81  -94  -67  
45  95  -8  
71  84  3  
-18  -36  -89  
-58  -85  38  
0  0  0  
41  -4  94  
-43  -96  70  
0  0  0  
90  6  -7  
94  91  46  
-97  -74  -63  
-82  98  8  
-51  79  28  
0  0  0  
0  0  0  
0  0  0  
-33  79  52  
0  0  0  
14  14  -94  
26  -57  -44  
15  73  -91  
91  70  -33  
-24  -45  24  
0  0  0  
-68  -11  -34  
-87  27  -77  
-48  -19  -24  
-58  -71  47  
-33  -61  14  
-19  59  81  
-84  50  -23  
-49  26  -90  
99  -49  66  
0  0  0  
0  0  0  
0  0  0  
70  -93  29  
74  -20  92  
-1  -19  -16  
9  -48  -81  
73  99  5  
0  0  0  
-24  -40  47  
18  34  90  
-18  26  -93  
0  0  0  
88  38  6  
93  -50  42  
-62  -97  -51  
0  0  0  
-44  50  30  
7  -44  -1  
-13  25  -10  
62  -57  86  
0  0  0  
39  37  95  
0  0  0  
-89  -70  -79  
0  0  0  
13  -6  8  
-40  -80  -19  
-89  -51  -32  
-59  7  -89  
-69  -60  -57  
77  -93  -73  
55  -70  24  
0  0  0  
15  5  88  
-20  86  -26  
0  0  0  
-21  -63  -37  
89  -52  -87  
31  67  34  
0  0  0  
-15  -12  -60  
-3  96  -55  
81  -81  72  
-29  -60  88  
-56  -36  69  
17  -90  -22  
30  14  -81  
66  -96  18  
-55  -32  73  
34  -63  60  
-10  -54  25  
0  0  0  
-72  51  -60  
0  0  0  
0  69  4  
-52  11  5  
-23  -48  -16  
0  0  0  
0  0  0  
90  -23  56  
-51  -87  3  
96  53  1  
0  0  0  
0  0  0  
0  0  0  
-47  -32  20  
-61  66  12  
66  -33  -66  
66  74  -5  
-66  23  80  
0  0  0  
58  -18  -85  
-56  77  6  
-97  -35  42  
-12  -49  -6  
-30  17  57  
-40  16  -14  
0  0  0  
3  -5  53  
35  58  21  
4  -4  41  
86  88  70  
50  43  16  
45  48  -90  
-86  23  10  
0  0  0  
59  -46  -40  
0  0  0  
98  -70  -91  
42  78  8  
-68  -80  -46  
0  0  0  
12  -75  67  
-24  7  35  
4  73  80  
23  -88  -74  
19  -32  -62  
0  0  0  
-3  -89  -10  
55  -20  -68  
91  -16  -59  
-18  70  -67  
9  50  45  
41  -81  42  
6  -75  64  
0  0  0  
56  -97  -14  
91  -76  51  
64  58  100  
42  -32  42  
-78  55  -6  
0  0  0  
0  0  0  
5  -36  -91  
0  0  0  
0  0  0  
33  17  25  
-35  75  3  
0  0  0  
-25  12  -93  
0  0  0  
0  0  0  
54  -56  89  
-84  -76  -94  
0  0  0  
0  0  0  
-43  -92  9  
89  -17  83  
64  -78  43  
23  -70  11  
-28  2  64  
-59  37  -93  
10  91  -27  
0  0  0  
38  34  82  
40  -99  56  
73  11  15  
39  90  75  
-78  39  1  
-45  -7  -73  
72  -12  -2  
-48  -44  -13  
53  37  29  
0  0  0  
80  86  49  
-8  -97  96  
0  0  0  
-33  -45  44  
-79  -22  -53  
7  -23  -47  
9  -53  -93  
0  0  0  
-82  -53  26  
-51  -88  -85  
0  0  0  
81  -21  -55  
28  -16  -98  
0  0  0  
90  -75  98  
55  46  89  
56  26  80  
-25  -83  57  
71  22  36  
-60  -20  -34  
4  59  -87  
0  0  0  
0  0  0  
0  0  0  
0  0  0  
61  -72  53  
-46  -9  -62  
16  -83  -88  
47  37  -67  
28  24  -91  
-2  -43  58  
-69  -66  -87  
23  98  -12  
-68  -1  44  
-54  23  77  
60  -61  94  
0  0  0  
8  78  64  
51  9  -42  
0  7  -14  
0  0  0  
77  -20  -46  
-96  -12  50  
-91  -94  -7  
-4  35  -38  
-44  100  84  
24  25  -18  
-43  -78  -17  
0  0  0  
-79  45  64  
-7  29  -64  
0  0  0  
-37  45  -48  
0  0  0  
93  -89  -98  
18  43  -12  
0  0  0  
-61  72  -52  
-36  -78  79  
74  -87  46  
0  0  0  
70  57  93  
-26  71  -87  
0  0  0  
-26  -11  60  
83  -84  -68  
-57  61  -20  
49  -90  -4  
46  11  -34  
0  0  0  
55  -4  -12  
-91  14  -59  
-9  -48  55  
-16  -49  -44  
-41  6  -47  
-29  -4  37  
76  -21  91  
0  0  0  
-24  -29  16  
84  92  31  
0  0  0  
-60  61  99  
-3  41  79  
0  0  0  
84  87  -47  
-93  -79  64  
5  -70  69  
76  -43  53  
-25  -72  -45  
0  0  0  
-37  -44  -6  
55  -7  94  
-59  -28  -61  
0  0  0  
0  0  0  
33  -29  -67  
-81  -43  0  
-9  -84  -18  
79  -47  -38  
35  89  88  
-30  -19  7  
5  -45  81  
44  -13  -67  
-35  -99  -19  
-57  -77  -84  
89  46  85  
0  0  0  
0  0  0  
-10  1  -68  
-35  97  -8  
-6  -97  -100  
72  55  -19  
-78  45  1  
72  47  -95  
99  64  -23  
46  -12  -27  
-36  67  -93  
-80  35  63  
57  66  -77  
0  0  0  
46  37  43  
-9  79  -40  
-4  8  54  
-12  -69  10  
14  76  86  
65  -93  -49  
25  -77  -75  
32  -56  28  
-74  -27  -15  
-44  91  -23  
0  0  0  
37  0  37  
-29  -16  1  
-27  52  47  
0  0  0  
-95  -90  60  
62  -38  67  
0  0  0  
55  90  -11  
20  65  -34  
-48  90  -78  
-20  63  -19  
-16  -40  -65  
0  0  0  
-87  74  -16  
0  0  0  
3  82  -67  
28  11  5  
0  0  0  
-96  -11  -79  
-15  -10  -84  
0  0  0  
90  26  -50  
0  0  0  
